BRAND,VERTICAL,WEBSITE,AD_LIBRARY_URL,ACTIVE_ADS_COUNT,AD_SCALE_EVIDENCE,LANDING_PAGE_TYPE,PRODUCTS_OFFERED,HERO_FORMULATION,GENERIC_OR_COMPOUNDED,PRICING_AS_LISTED,EFFECTIVE_PRICE_PER_MONTH,INTRO_OR_TRIAL_OFFER,DISCOUNTS_AND_BUMPS,GUARANTEE,CONSULT_FEE,PRIMARY_ANGLE,CTA_WORDING,CRO_ELEMENTS,FUNNEL_MODEL,SUBSCRIPTION_STRUCTURE,COMPANY_SCALE,VERDICT_NOTES,SOURCE_AND_DATE
Ro (Roman),"ED, premature ejaculation, weight loss (GLP-1), hair loss (men's and women's), fertility, skin, herpes/cold sores, lashes",https://ro.co,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=ro.co&search_type=keyword_unordered,8701,"Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode) on 2026-08-14; direct HTTP to facebook.com/ads/library returns 403 and headless crawls return only the JS shell. CAVEAT: keyword_unordered counts every advertiser whose ad text matches the term, including affiliates, so it is an upper bound on the brand's own ads, not a clean brand count. 'ro.co' tokenizes loosely in unordered search so this figure is inflated; treat as an upper bound.",Standard ecommerce/PDP plus an unusually transparent public price list at ro.co/pricing - closer to a retail catalog than a quiz-gated reveal. This is the most price-transparent brand in the set.,"Ro Sparks, Daily Rise Gummies, generic and branded Viagra/Cialis, Roman Swipes, sertraline for PE, finasteride, oral and topical minoxidil, Ro Mane Spray, valacyclovir, LATISSE, Ro Body (GLP-1), Ro Daily multivitamin.",Ro Sparks: Sildenafil 55mg + Tadalafil 22mg. Daily Rise Gummies: Tadalafil 7mg. Generic Viagra 25/50/100mg; generic Cialis 5/10/20mg and daily 2.5/5mg. Roman Swipes: 4% benzocaine.,"Primarily generic, with brand-name offered side by side at a large premium. Ro Sparks is a multi-ingredient combo product.","Ro Sparks $48/mo (4 doses), $72/mo (6), $96/mo (8), $120/mo (10); quarterly plans $15 off every 3 months. Daily Rise Gummies $89/mo, or $69/mo on a 3-month plan. Generic Viagra $4 (25mg), $6 (50mg), $10 (100mg) per dose vs branded Viagra flat $90/dose. Generic Cialis $11 (5mg), $44 (10/20mg); daily 2.5/5mg $8. Finasteride $20/$18/$16 per month at 3/6/12-month prepay. Ro Body membership first month $39, ongoing $74/mo annual prepaid.","ED ranges from $8/mo (daily generic Cialis) to $120/mo (Ro Sparks 10-dose). Per-dose prices are published directly by Ro rather than derived: $4-$10 generic sildenafil, $12/dose for Ro Sparks at the 4-dose tier.","Homepage banner at capture: 'Get $20 off your next ED order on a recurring plan, if prescribed through 6/7' (may be expired). Ro Body first month $39 vs $74/mo ongoing.",No checkout bumps captured (checkout not entered). The real discount mechanism is prepay length - up to 20% off on hair loss at 12-month prepay.,UNVERIFIED - not located.,Not itemized separately; bundled into product price. UNVERIFIED as a standalone line item.,"Transparency and legitimacy - published prices, generic-vs-brand side by side, celebrity endorsers.","'Get started', 'Start losing weight', 'Start now', 'Learn more', 'Visit now'","LegitScript badge; claims: '95% love their experience'; claims: '3,000,000+ members'; celebrity endorsers (Serena Williams, Charles Barkley, Chrissy Metz, Trisha Paytas). No numeric star rating on homepage.","Browse -> quiz/eligibility -> Rx -> ship. Pricing published before the quiz, unlike Rugiet and HeroMD.","Monthly with quarterly, 6-month and 12-month prepay tiers; steepest discounts at 12-month prepay on hair loss. Cancellation terms UNVERIFIED.","Private. Secondary aggregators report ~$1.06B total funding; a Feb 2022 round of $150M led by ShawSpring reportedly valued Ro at $7B, after a 2021 $500M raise at $5B. These rounds do not reconcile cleanly across sources and none is post-2022, so current revenue and valuation are UNVERIFIED. claims: 3,000,000+ members.",Ro is the counter-example to the gated-funnel orthodoxy: it publishes a full price list and still scales. Worth copying if you intend to compete on trust rather than on obscuring a rebill. The specific tactic to steal is showing generic beside brand at $4 vs $90 - the anchor does the selling and no hype copy is required.,https://ro.co/ ; https://ro.co/pricing ; Meta Ad Library URL in column D - retrieved 2026-08-14
Rex MD,"ED/sexual health (hub), plus hair loss, sleep, TRT/testosterone, weight loss",https://www.rexmd.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=rex%20md&search_type=keyword_unordered,~48 (measured 2026-08-14),"Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode) on 2026-08-14; direct HTTP to facebook.com/ads/library returns 403 and headless crawls return only the JS shell. CAVEAT: keyword_unordered counts every advertiser whose ad text matches the term, including affiliates, so it is an upper bound on the brand's own ads, not a clean brand count. Both queries returned low counts on 2026-08-14, which is notably small for a brand claiming 500,000 customers - suggesting Rex MD acquires primarily through affiliate, TV and native channels rather than its own Meta page. | agent-reported: 48 (unordered); 37 exact-phrase | verified via https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Rex%20MD&search_type=keyword_unordered&media_type=all","Advertorial-style paid-media landing page on a dedicated conversion subdomain (ed.rexmd.com/sample-pack-1/), reached via TV/affiliate-tagged links (utm_source=tv, AFFID=RexMD), running a sequential order-bump flow BEFORE medication selection.","Generic and branded Viagra, generic and branded Cialis, Cialis Daily, generic vardenafil, Ignite Rx and Ignite Rx Max (combo gummies/chews), Tadalafil Chew. Cross-sells finasteride, ramelteon, TRT and Wegovy Pill.",Ignite Rx: Sildenafil 40mg + Tadalafil 8.5mg (state-gated variant Sildenafil 25mg + Tadalafil 5mg). Ignite Rx Max: Sildenafil 80mg + Tadalafil 17mg. Cialis Daily: Tadalafil 2.5-5mg. Generic Cialis 10-20mg. Generic Viagra 25/50/100mg. Generic vardenafil 10-20mg.,Mix of generic and brand-name (Branded Viagra by Pfizer sold alongside generics). Combo Ignite products are compounded-style multi-active SKUs.,"Per-unit anchors on the live funnel: Cialis Daily 'As low as $1.80 per tablet'; generic Cialis, generic Viagra and generic vardenafil 'As low as $6 per tablet'; Ignite Rx 'As low as $7 per Gummy'; Ignite Rx Max 'As low as $7 per dose'; Tadalafil Chew 'As low as $7 per chew'; Branded Viagra 'As low as $90 per tablet'. Multi-pack grid appears at the next checkout step - UNVERIFIED.",$1.80-$7.00 per dose for generics and combos; $90/tablet for branded. Monthly total depends on the gated pack size.,"ED consult advertised free ('Free Online Consultation', '100% Free Prescription'). The paid intro is the lab/TRT add-on: 'RexMD Comprehensive Lab Testing and First Clinical Consultation - $199, Promo $100 OFF Applied - Just $99', which then converts to '$250 - $299 monthly thereafter' if eligible. That is the clearest verified intro-to-rebill escalation in the entire dataset: $99 one-time becomes $250-299/mo.","THE MOST AGGRESSIVE BUMP STACK IN THIS SET - five sequential offers before medication is even selected: (1) Finasteride 'Normally 54/mo -> 27/mo, 50% OFF, One-time offer', CTA 'Add Finasteride 27/mo'; (2) At-home Testosterone Lab Panel $99 (anchored against $199), CTA 'Add to my order $99'; (3) Ramelteon sleep aid 'Limited-Time Offer: $78/mo - 50% OFF', CTA 'Add Sleep Support $78'; (4) a second finasteride offer at $27 mislabeled under a 'Sleep Great. Guaranteed.' headline (apparent template bug, recorded verbatim); (5) Wegovy Pill 'Simple Pricing. Locked in for every Dose! $349/mo'. Every decline uses the same shaming pattern: 'No thanks, I'll deal with hair loss later.'","UNVERIFIED on the crawled pages, though a 'Satisfaction Guaranteed' trust badge is displayed without linked terms.","ED consult is free. A separate paid diagnostic exists: $199 lab + first clinical consult, promoted at $99.","Speed and free-consult framing on ED, then monetize via cross-category bumps rather than via the ED margin itself.","'Start your free visit' (with sub-label '- Sample Packs Now Available -'), 'CLICK HERE', 'Book a Free Call', 'Add to my order $99', 'Add Finasteride 27/mo', 'Add Sleep Support $78', 'Continue'","Star block '4.84 Based on 376 ratings' with full distribution, but the main site cites Trustpilot 'Rated 4.6 Excellent, 3,524 reviews' - two different ratings across pages. Scale claims also diverge: 'chosen by over 500,000 men' on the funnel vs 'Over 475K Men' and '58+ Million Doses Prescribed' on the main site. 'VERIFIED' testimonials; trust badges (LegitScript, HIPAA, Satisfaction Guaranteed); '#1 ranked ED service in America' (unsourced); named physician Dr. Puopolo; retargeting pixels confirming paid-traffic optimization.",Advertorial/affiliate landing -> sequential order bumps -> medication selection -> Rx -> ship.,"'Monthly refills, or you can reorder your medication as needed'; 'Cancel anytime' stated at the selection step.","Private. Third-party estimator Grips Intelligence reports rexmd.com revenue of $508,851 in June 2026 from 11,460 transactions, and $15.6M in 2025 online-store sales, down 32% versus the prior three months. Directional only, not audited. claims: over 500,000 men.","Study this funnel for bump architecture and nothing else. Five stacked bumps ahead of the core purchase is the highest-AOV structure documented here, and the $99-to-$250/mo lab-to-TRT escalation is a genuinely smart cross-sell into a higher-LTV vertical. But copy the structure with the sharp edges filed off: the decline-shaming copy, the unsourced '#1 in America' claim, the contradictory ratings, and a live template bug offering hair-loss benefits under a sleep headline are all liabilities, and the third-party revenue trend suggests the model may be contracting.",https://www.rexmd.com/viagra ; https://ed.rexmd.com/sample-pack-1/ ; https://gripsintelligence.com/insights/retailers/rexmd.com ; Meta Ad Library URL in column D - retrieved 2026-08-14
EverLife MD,"ED/sexual health (Titan-Rx), women's intimacy (Lovara), hormone support (enclomiphene, sermorelin), sleep, longevity",https://everlifemd.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=everlifemd&search_type=keyword_unordered,"50,000 (measured 2026-08-14)","Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode) on 2026-08-14; direct HTTP to facebook.com/ads/library returns 403 and headless crawls return only the JS shell. CAVEAT: keyword_unordered counts every advertiser whose ad text matches the term, including affiliates, so it is an upper bound on the brand's own ads, not a clean brand count. IMPORTANT: the spaced query 'everlife md' returned ZERO, while the actual brand string 'everlifemd' returned 1,623 active ads on 2026-08-14, and the product name 'titan-rx' returned 22. Query string matters enormously here - on the correct string EverLife MD is the third-largest Meta advertiser in this entire sheet, behind only Hims and MEDVi. | agent-reported: 1623 | verified via https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=EverLife&search_type=keyword_unordered&media_type=all","Long-form single-product advertorial. The URL pattern /titan-rx/h2 indicates an A/B-tested creative variant, so multiple parallel ad landers exist for the same product.","Titan-Rx (men's ED), Lovara (women's intimacy), Enclomiphene, Sermorelin GHK, Restora-Z (sleep), Optima-rx","Titan-Rx, 'THE 3-IN-1 PERFORMANCE STACK': Tadalafil 6mg + Vardenafil 6mg + L-Arginine 200mg, once-daily capsule, 30 capsules per bottle. Lovara: Tadalafil + Vardenafil + Apomorphine.","Prescription combination capsule blending two generic actives with a supplement ingredient into a proprietary SKU 'available only through Everlife', filled by a licensed US pharmacy. Compounded in substance, though the site does not carry the standard compounding disclosure - a notable gap.","Titan-Rx 'As low as $49.99/Month - Get 49% OFF NOW!'. Lovara 'As Low as $55'. Enclomiphene 'As Low as $79'. No pack ladder - sold as a 30-capsule monthly bottle. The '49% off' baseline is never printed, so the reference price is UNVERIFIED.","$49.99/mo for Titan-Rx (30 daily capsules), roughly $1.67/dose derived.",'Get 49% OFF NOW' with no stated baseline. Whether $49.99 rises on rebill is UNVERIFIED.,None found on the product page - UNVERIFIED beyond the gated intake.,No money-back guarantee. Only a quality claim: 'Our purity guarantee ensures all products are sourced from U.S. pharmacies and meet the highest safety and quality standards.' No refund window stated.,"Bundled: 'Treatment Plan includes free medical evaluation, free shipping and 24/7 support from medical doctor.'",Daily-dosing convenience plus a stack framing - positioned against both 'Standard ED Pills' and 'Male Enhancement Supplements' in a 7-attribute comparison table.,"'Get Started Now', 'get started now!', 'GET STARTED NOW!', 'Claim Your Prescription Today' - capitalization is inconsistent across one page, evidence of CMS block reuse rather than hand-written copy.","claims: 'Over 100,000+ Happy Customers' (consistent across the page); '4.8 Trustpilot Rating' on the product page vs '4.9 Excellent' on the homepage; '#1 Prescribed ED Treatment' (unsourced); a 7-attribute comparison table; five PubMed citations (unusually heavy academic dressing for a DTC ED lander); and an explicit AI disclosure: 'Certain materials on this website, including text, images, and other media, may be generated or enhanced using artificial intelligence technologies... Individuals appearing in advertisements may be actors or models.' Same 4 testimonials repeat 3x down the page.",Advertorial -> free health quiz -> doctor review -> pharmacy delivery.,Monthly subscription implied by the 30-capsule bottle and $49.99/Month pricing. Cancellation terms UNVERIFIED.,"UNVERIFIED. No independent revenue, funding or customer data found. claims: 100,000+ customers is first-party only.","Badly underrated on a first pass and worth a hard look. At 1,623 active ads EverLife is the third-heaviest Meta advertiser in this sheet, yet it sells the cheapest daily combo documented here at $49.99/mo - roughly 25% under HeroMD PRIME - with A/B-tested landing variants (/titan-rx/h2) behind it. That combination of real ad spend plus a low price point is what a scaling DR operation looks like. Copy the AI-content disclosure outright: it is honest, it is fast becoming an FTC expectation, and almost nobody else here has one. Do not copy the gaps - there is no money-back guarantee, no compounding disclosure despite selling what is functionally a compounded combination, and an unsourced '#1 Prescribed ED Treatment' claim, which together are the most likely triggers for the kind of letter MEDVi already received.",https://everlifemd.com ; https://everlifemd.com/titan-rx/h2 ; https://everlifemd.com/treatments?category=sexual-health ; Meta Ad Library URL in column D - retrieved 2026-08-14
Hims,"ED/sexual health, hair loss, weight loss (GLP-1), testosterone, mental health, skin",https://www.hims.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=hims&search_type=keyword_unordered,"~1,400 (measured 2026-08-14)","Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode) on 2026-08-14; direct HTTP to facebook.com/ads/library returns 403 and headless crawls return only the JS shell. CAVEAT: keyword_unordered counts every advertiser whose ad text matches the term, including affiliates, so it is an upper bound on the brand's own ads, not a clean brand count. Hims is also the parent of Hers, whose keyword returns 50,001 (Meta's result ceiling). | agent-reported: 1447 | verified via https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Hims&search_type=keyword_unordered&media_type=all",Standard ecommerce category/PDP pages feeding a symptom quiz (hims.com/g/i/sh). Not an advertorial or VSL.,"ED: 3-in-1 Pill, 3-in-1 Hard Mints, Sildenafil Chews, Tadalafil Chews, generic Viagra/Cialis, Sex Rx bundles. Hair: finasteride/minoxidil hybrids, Rx sprays and serums. Weight loss: Wegovy, Zepbound, Ozempic, Mounjaro, Foundayo.","Mixed portfolio rather than one hero. ED combo products are compounded multi-ingredient (mg strengths not published at category level - UNVERIFIED). Weight loss is brand-name GLP-1, not compounded.","Both, and disclosed per category. ED 'Sex Rx' bundles and hair hybrids are compounded, verbatim: 'The featured products include compounded products which have not been approved by the FDA.' Weight loss is FDA-approved brand-name.","ED: generic Viagra from $22/mo, generic Cialis from $24/mo, 3-in-1 Hard Mints and Sildenafil/Tadalafil Chews from $30/mo, 3-in-1 Pill and Sex Rx bundles from $35/mo, Sex Rx + Climax Control from $39/mo. Hair: minoxidil foam $19/mo, finasteride $22/mo, most hybrids $35/mo, Hair Power Pack $60/mo. Weight loss: from $149/mo (Wegovy pill) to $1,899/mo (Mounjaro, Zepbound).","ED $22-$39/mo. Hair $19-$60/mo. Weight loss $149/mo plus a mandatory $149/mo membership after month one, so the true weight-loss floor is about $298/mo ongoing, not the $149 advertised. claims: 'Treatments start as low as $2/dose.'",Weight Loss Membership is $39 for the first month then auto-renews at $149/mo. That first-month discount is the intro offer.,"No checkout order bumps observed on public category pages (checkout not entered - UNVERIFIED). The membership gate, not a bump, is the monetization mechanism.",UNVERIFIED - no guarantee language located on the pages crawled.,"No separate consult fee for ED or hair. Weight loss requires a membership billed separately from medication: '$39 for the first month, auto-renews at $149/month thereafter. Membership is billed separately and does not include or guarantee a prescription. Medication is not available without a membership.'","Category leader positioning - breadth of conditions, brand-name GLP-1 access, and normalized/destigmatized men's health.","'Get started', 'See if Hims is right for me', 'See if treatment is right for me', 'Start losing weight', 'Check for ED symptoms'",LegitScript seal; FDA badge icons on product thumbnails; '32 lbs*' weight-loss stat; app-download QR; FAQ accordions; 'Top Treatments' cross-sell rail. No star rating or countdown timer observed on category pages.,"Quiz -> Rx (async licensed-provider review) -> ship, with a membership gate on weight loss.",Monthly. Weight-loss membership auto-renews $39 -> $149/mo. Cancellation terms not located on crawled pages - UNVERIFIED.,"Public company, NYSE: HIMS (Hims and Hers report as one parent). Q2 2026 revenue $753.2M, up 38% YoY from $544.8M. Subscribers ~2.9M, up 19% YoY (+300k net adds). Q2 net loss $86.3M; adjusted EBITDA ~$60M. FY2026 guidance raised to $3.1-$3.3B revenue. Reported 2026-08-10. Also acquired Eucalyptus (parent of Australia's Pilot) in a deal valued up to US$1.15B, completed June 2026 - international revenue rose more than 17-fold to $131M.","The scale benchmark, but not the model to copy for a compounded-Rx launch. Hims monetizes breadth and a membership gate; a single-product brand cannot. The transferable idea is the membership gate itself ($39 -> $149), which converts a one-time buyer into recurring revenue independent of whether medication ships. Note their gross margin is falling (64% adjusted) as brand-name GLP-1 mix grows, which is the strategic argument FOR staying compounded.",https://www.hims.com/ ; https://www.hims.com/erectile-dysfunction ; https://www.hims.com/hair-loss ; https://www.hims.com/weight-loss ; https://investors.hims.com/news/news-details/2026/Hims--Hers-Health-Inc--Reports-Second-Quarter-2026-Financial-Results/default.aspx ; Meta Ad Library URL in column D - all retrieved 2026-08-14
Health Insider,Female facial hair (content arbitrage publisher),healthinsider.news,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=hirsutism&search_type=keyword_unordered,21 (rendered subset),"LARGEST SINGLE ADVERTISER on ""hirsutism"": 21 of 58 rendered cards (~62 total active US) on 2026-08-14. Site returns HTTP 403 to automated fetches.",Editorial advertorial / quiz-to-app funnel,Health content; monetization model UNVERIFIED (403 on About page),"n/a - publisher, not a product",n/a,No product price published,n/a - publisher,UNVERIFIED,UNVERIFIED,UNVERIFIED,n/a,Editorial/health-news framing wrapped around symptom content,UNVERIFIED (site blocks automated fetch),"Advertorial editorial styling; app-install cards observed in adjacent sweeps (""Trusted by 100,000+ women"" iTunes install cards)",Content arbitrage -> affiliate or app install (UNVERIFIED),UNVERIFIED,Programmatic content publisher,"DEMAND PROOF, NOT A PRODUCT RIVAL. A pure arbitrage publisher is spending more on 'hirsutism' than any actual seller. That only happens when the click monetizes. Confirms the keyword pays before we spend a dollar.",Meta Ad Library https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=hirsutism&search_type=keyword_unordered 2026-08-14
1800RxOnline.com (India import),Female facial hair (gray-market import),1800rxonline.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=eflornithine&search_type=keyword_unordered,0,No US paid media. PharmacyChecker index only.,Pharmacy listing,"Vaniqa / eflornithine 13.9% cream, 1 tube",Eflornithine 13.9%,Brand/generic import,"$47.74 per tube, free standard shipping from India",$47.74 (1 tube/month assumption),None,Free standard shipping,None,Not disclosed,Cheap import of the reference strength,n/a,Price-comparison table only,Cross-border mail order,None,International mail-order pharmacy,Second gray-market data point. PharmacyChecker lists ZERO US pharmacy prices for eflornithine 13.9% - the US retail channel has effectively vacated the molecule.,https://www.pharmacychecker.com/eflornithine/ 2026-08-14
GoldStarMeds.com (India import),Female facial hair (gray-market import),goldstarmeds.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=eflornithine&search_type=keyword_unordered,0,No US paid media. Discovered via PharmacyChecker price index.,Pharmacy listing,"Vaniqa / eflornithine 13.9% cream, 1 tube",Eflornithine 13.9%,Brand/generic import,"$42.97 per tube, free standard shipping from India",$42.97 (assumes 1 tube per month at BID dosing),None,Free standard shipping; import duty may apply at checkout,None,Not disclosed,Lowest global price on the FDA reference strength,n/a (price-comparison listing),Price-comparison table only,Cross-border mail order,None,International mail-order pharmacy,"THE TRUE PRICE FLOOR ON 13.9%. $42.97 undercuts every US telehealth seller. Risk offsets: 2-4 week transit, import seizure, no support. Our guarantee and speed are the counter, not price.",https://www.pharmacychecker.com/eflornithine/ 2026-08-14
Non-Rx advertisers on the hirsutism keyword,Female facial hair (grey-market / non-Rx),Various,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=hirsutism&search_type=keyword_exact_phrase,~62 (measured 2026-08-14),"Meta Ad Library exact-phrase query on the clinical keyword 'hirsutism' returned ~62 active US ads on 2026-08-14. Top advertiser is 'The PCOS Doctor' (facebook.com/pmosdoctor), running since April 2026 with professionally written long-form advertorial copy that opens: 'This simple three-step method can visibly reduce coarse hormonal facial hair regrowth in as little as a few weeks... and it takes about fifteen minutes. But that's not what I want to talk to you about today.' | agent-reported: ~62 | verified via https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=hirsutism&search_type=keyword_unordered&media_type=all",Long-form first-person advertorials,"Devices, waxes, supplements, and laser and electrolysis services sold against the hirsutism keyword",Non-prescription,Non-prescription,Wide range,Varies,Various,Various,Various,Not applicable,Emotional PCOS-identity and hormonal-shame angles rather than clinical claims,Various,Long-form first-person advertorial storytelling; open-loop hooks that defer the pitch; PCOS community identity framing,Advertorial to cart,Various,Not applicable,DEMAND PROOF AND THE COPY SCHOOL TO STUDY. Roughly 62 active ads on the clinical term 'hirsutism' are being run by non-prescription operators using professionally written direct-response advertorials. Nobody spends continuously on advertorial creative against a term that does not convert. The pain converts. The category simply has no credible prescription brand claiming it.,"https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=hirsutism&search_type=keyword_exact_phrase + Meta Ad Library, verified 2026-08-14"
Aurlux,Female facial hair (grey-market topical),aurlux.co,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=hirsutism&search_type=keyword_unordered,10 (rendered subset),"10 of 58 rendered cards on ""hirsutism"" (~62 total active US). Also 9 cards on ""facial hair women"" and 7 on ""chin hair"". Multi-keyword buyer = the most aggressive grey operator in this niche.",Long-form advertorial/listicle -> product page,Hair Removal Trilogy Kit; Hair Inhibiting Oil $13.99; Face Exfoliator; Ingrown Hair Serum,Botanical hair-inhibiting oil (no active drug),Non-Rx cosmetic,"""Buy 1 Get 1 Free"" 2-pack $31.99 (reg $78.99); ""Buy 2 Get 2 Free"" 4-pack $55.99 (reg $138.99); Ultimate Bundle 4-pack + body kit $71.99 (reg $178.99); or 4 payments of $9.99","~$14/mo (4-pack $55.99 assuming 1 pack per month - supply length not published, ASSUMPTION)",Up to 75% off framed as the entry offer,Extra 5% off code AURLUXDAYSALE; free Face Exfoliator; free Ingrown Hair Repair Serum on top tier; free shipping over $40,"60-Day Money Back Guarantee, ""completely Risk-Free experience""",None (no Rx),"""5 Reasons Women Are Ditching Traditional Hair Removal Methods"" - speed plus hormonal/PCOS hair, anti-laser, anti-wax","""GET SMOOTH SKIN NOW"" / ""I WANT EASY SMOOTH SKIN NOW"" / ""GET UPTO 75% OFF TODAY"" / ""CHECK AVAILABILITY""","claims: 4.85/5 from 20,000+ reviews; claims: 240,000+ happy customers; ""96% Sold"" low-stock bar; LIMITED TIME SALE countdown; before/after imagery; BOGO bundle ladder; 4-payment split",Advertorial -> bundle-ladder cart,None (one-time bundles only),"claims: 240,000+ customers (unverifiable)","THE PACESETTER FOR GREY CREATIVE. Buys 3 of our keywords simultaneously. No active drug, no doctor, no Rx - yet outspends most Rx sellers on 'hirsutism'. Beat them on the one thing they cannot claim: a real prescribed molecule.",https://aurlux.co/pages/instantly-remove-hair + https://aurlux.co/products/hair-removal-trilogy-kit + Meta Ad Library 2026-08-14
CyperGlow,Female facial hair (grey-market topical),cyperglow.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=hirsutism&search_type=keyword_unordered,8 (rendered subset),"8 of 58 rendered cards on ""hirsutism"" (~62 total active US), plus dedicated CYPERGLOW.COM link cards. Sustained buyer on the exact clinical keyword.",Product landing page,Cyperus Rotundus Skin Serum (V3 formula),Cyperus rotundus botanical extract (no active drug),Non-Rx cosmetic,$39.99 one-time,$39.99 (assumes 1 bottle/month - supply length not published),None; price is the entry offer,Free shipping included; Klarna available; no order bumps observed,365-Day Money-Back Guarantee,None (no Rx),"""The Ancient Egyptian Secret"" - claims: makes unwanted hair progressively thinner until barely visible; claims: no hormonal side effects","""SHOP OUR BEST SELLER"" / ""ADD TO CART - $39.99""","claims: 4.8/5 from 4,700+ reviews; claims: 175,000+ customers; 6-month transformation timeline graphic; before/after gallery; objection-handling FAQ",Ad -> product page -> cart,Subscription referenced in nav but not priced,"claims: 175,000+ customers (unverifiable)",365-DAY GUARANTEE IS THE LONGEST IN THE ENTIRE FIELD - longer than any Rx seller offers. They buy trust with refund length because they have no molecule. We can match the term AND have the molecule.,https://cyperglow.com/products/cyperus-rotundus-skin-serum 2026-08-14
Eyeamuko,Female facial hair (grey-market topical),eyeamuko.com (DNS did not resolve on fetch),https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=hirsutism&search_type=keyword_unordered,8 (rendered subset),"8 of 58 rendered cards on ""hirsutism"" (~62 total active US). Ad cards route through CYPERGLOW.COM link text, suggesting shared infrastructure with CyperGlow.",UNVERIFIED (domain unreachable),UNVERIFIED,UNVERIFIED,Non-Rx (inferred from ad creative),UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,None,UNVERIFIED,"""Learn more""",UNVERIFIED,Ad -> CyperGlow-linked destination,UNVERIFIED,UNVERIFIED,"LIKELY A SECOND CREATIVE FRONT FOR CYPERGLOW - its ad cards carry CYPERGLOW.COM as the destination domain. One operator running two brand faces on the same keyword is a scale tell, and it means the real CyperGlow ad count is ~16, not 8.",Meta Ad Library https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=hirsutism&search_type=keyword_unordered 2026-08-14
Kare Pharmacy (kare-rx),Female facial hair (Rx compounded),kare-rx.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=eflornithine&search_type=keyword_unordered,0,Not present in any keyword sweep. No paid media.,Login-gated catalog page,"Compounded eflornithine cream 7% and 14% (14% labeled ""Most prescribed"")",Eflornithine 7% / 14%,Compounded,Pricing hidden behind sign-in,UNVERIFIED - sign-in required,None,None,None stated,Not disclosed,Prescriber-facing compounding catalog; custom strength availability,"""View Pricing & Options"" / ""Request a custom strength""",Login wall; no consumer CRO elements at all,Prescriber account -> fill,None,Compounding pharmacy,PROOF THAT 14% IS ROUTINELY COMPOUNDED AND CALLED 'MOST PRESCRIBED'. Useful third-party support for going above Musely's 6%. Not a consumer competitor.,https://www.kare-rx.com/products/eflornithine-cream 2026-08-14
Restorative Compounding Pharmacy,Female facial hair (Rx compounded),restorativecompounding.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=eflornithine&search_type=keyword_unordered,0,"Not present in Meta Ad Library keyword sweeps (hirsutism ~62, eflornithine ~34). Zero paid presence; prescriber-referral led.",Product page (prescriber-gated),"Compounded eflornithine cream, custom strengths","Eflornithine, custom %",Compounded,Price not displayed on product page (shows $0.00 placeholder),UNVERIFIED - no public price,None,None,None stated,Not disclosed,Clinical efficacy for facial hair reduction via enzyme inhibition; positioned as adjunct to laser,"""Request More Information"" (patients) / ""Request Prescribing Access"" (prescribers)","Dual patient/prescriber paths; clinical framing; no reviews, no urgency, no guarantee","Prescriber-referral -> pharmacy fill (B2B2C, not DTC)",None,Single-location compounding pharmacy,NOT A DTC COMPETITOR. Cannot buy without an outside prescriber. Confirms supply exists but nobody is merchandising it. Their price opacity is our opening.,https://www.restorativecompounding.com/products/p/compounded-eflornithine-cream-facial-hair-reduction 2026-08-14
