BRAND,VERTICAL,WEBSITE,AD_LIBRARY_URL,ACTIVE_ADS_COUNT,AD_SCALE_EVIDENCE,LANDING_PAGE_TYPE,PRODUCTS_OFFERED,HERO_FORMULATION,GENERIC_OR_COMPOUNDED,PRICING_AS_LISTED,EFFECTIVE_PRICE_PER_MONTH,INTRO_OR_TRIAL_OFFER,DISCOUNTS_AND_BUMPS,GUARANTEE,CONSULT_FEE,PRIMARY_ANGLE,CTA_WORDING,CRO_ELEMENTS,FUNNEL_MODEL,SUBSCRIPTION_STRUCTURE,COMPANY_SCALE,VERDICT_NOTES,SOURCE_AND_DATE
Ro (Roman / Ro women's),Broad telehealth,ro.co,AdLib q=ro.co,UNVERIFIED,Ad count not reliably verifiable in this pass. The brand token 'Ro' i…,Category site with per-condition intake flo…,"Weight loss (Wegovy pill and pen, Zepbound, Ozempic, Foundayo, Saxenda), sexu…",No hirsutism or unwanted facial hair offering anywhere in the catalog,Brand and compounded,Not published on the homepage. References 'lowest prices' and notes generic sildenafil is up to…,UNVERIFIED,None,None observed,None stated,Not published,The trusted large-scale telehealth platform with the lowest prices,Get started / Start losing weight / Start n…," '3,000,000+ members and counting' and '95% love their experience' as the dom…",Category to intake to Rx,Subscription," 3,000,000+ members (company's own marketing claim)",THE THIRD ABSENT GIANT. Ro sells women's hair loss and custom skin prescriptions to 3M+ members and still sells nothing…,https://ro.co/ + verified 2026-08-14
AFFILIATE NETWORKS (negative finding),ClickBank / Digistore24 / BuyGoods,clickbank.com,n/a,0 identified,"No PCOS, hirsutism or facial-hair offer surfaced in ClickBank's publi…",n/a,No matching offer identified,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a - no offer found,n/a,n/a,n/a,n/a,n/a,"NEGATIVE FINDING, HONESTLY BOUNDED: no hirsutism or PCOS-facial-hair offer appears in ClickBank's public listings, and…",https://www.clickbank.com/blog/clickbank-top-offers/ + https://www.clickb…
Strut Health,Compounded telehealth (multi-cate…,struthealth.com,AdLib q=Strut%20Health,0,Meta Ad Library returned 'No ads match your search criteria' on the e…,Category grid with an online visit intake,"Seven categories: Sexual Health, Testosterone, Weight Loss, Hair Loss, Skin…",No eflornithine or hirsutism product exists in the catalog,Compounded; the site desc…,Not published on the homepage,UNVERIFIED,None,Free shipping,"None stated on the homepage, though a refund policy link exists",Not disclosed; the online visit i…,Pharmacy-compounded formulas reviewed by licensed US physicians,Get Started / Start your online visit,'Complete Your Online Visit' framed as a 5-minute task to reduce perceived ef…,Online visit to Rx to compounded fill,Subscription; cadence not published,UNVERIFIED,A COMPOUNDING GENERALIST THAT SKIPPED THE CATEGORY. Strut already runs multi-category compounded telehealth with the ex…,"https://www.struthealth.com/ + Meta Ad Library, verified 2026-08-14"
Michael Todd Beauty (Sonicsmooth),Dermaplaning device,michaeltoddbeauty.com,AdLib q=facial%20hair%20women,12 (rendered subset),"12 of 90 rendered cards on ""facial hair women"" (~3,900 total, broad/n…",DTC product page,Sonicsmooth at-home sonic dermaplaning system,Sonic dermaplaning blade device,n/a - device,$72.60 (compare-at $121.00),$6.05/mo (device annualized over 12 mo); refill cos…,40% off compare-at price,None published,30 days money-back guarantee + 3 Year Warranty,n/a,"""Remove unwanted facial hair while providing an expert exfoliating tr…","""Add to cart"" (ad CTA: ""Easy At-Home Dermap…","4.5/5 from 8,651 reviews; 3-year warranty; compare-at anchor; dual-benefit fr…",Ad -> product page -> cart,None on device (refill program not shown),Established DTC beauty device brand,"ACTIVELY BUYING OUR KEYWORDS AT THE CHEAPEST EFFECTIVE PRICE IN THE FIELD (~$6/mo). 8,651 reviews is the largest verifi…",https://michaeltoddbeauty.com/products/sonicsmooth + Meta Ad Library 2026…
DERMAFLASH,Dermaplaning device + consumable…,dermaflash.com,AdLib q=peach%20fuzz,~120 (measured 2026-08-14),"Not isolated in the rendered subset of the ""peach fuzz"" sweep (~2,700…",DTC product page,DERMAFLASH LUXE+ device; LUXE+ Replenishment Kit (MicroFine Edges + PREFLASH…,Sonic dermaplaning device with consumable blade edges,n/a - device,Device $199.00; Replenishment Kit $29.00 per 4-week supply; Subscribe + Save 10% and free shipp…,$48.00/mo total in year one ($16.58 device annualiz…,60-Day Risk-Free Trial,"Subscribe + Save 10% on refills, free shipping",60-Day Money-Back Guarantee (full refund minus shipping/handling),n/a,"Sonic dermaplaning plus peach fuzz removal; explicitly reassures ""You…","""Add to cart - $199""","4.8/5 from 964 reviews;  100% saw instant texture improvement, 97% less visib…",DTC -> device purchase -> consumable subscription,"Refill subscription, 4-week interval, 10% off",Established prestige beauty device brand,"THE BEST BUSINESS MODEL IN THE WHOLE SET AND THE CLEAREST PROOF OF OUR THESIS: $48/mo effective, and she re-subscribes…",https://dermaflash.com/products/dermaflash-luxe-plus 2026-08-14
HeroMD 4-MAX (affiliate/PR funnel — NOT…,ED (sexual health),heromd.us (no live 4-MAX page; ht…,AdLib q=heromd,~850 (measured 2026-08-14),Same keyword query as the HeroMD row; no way to separate 4-MAX-specif…,Paid press-release / advertorial network (A…,"4-MAX, described as a four-ingredient sublingual liquid",Vardenafil 7.5mg + Sildenafil 40mg + Tadalafil 4mg + Apomorphine 2mg…,Compounded (per press rel…,"""$3 per dose on a subscription"" — described in the release itself as ""published promotional pri…",UNVERIFIED — no monthly price published; depends on…,"UNVERIFIED — the partner-reported 5/10/20-pack ladder and ""…",UNVERIFIED — no order bump documented in any source I could retrieve. The partn…,"No refund: ""once approved and shipped, it cannot be returned or refunded""…",UNVERIFIED,"""Skip the wait"" — apomorphine positioned as the neurological/desire c…",UNVERIFIED — no first-party 4-MAX page exis…,"Press-release trust framing only (LegitScript, compounding-pharmacy language…",Advertorial/PR -> affiliate link -> presumably the…,"Auto-renew monthly or every two months, cancel before next…","Same entity as HeroMD (Cured Med, LLC) if genuinely HeroMD's pr…",READ THIS BEFORE RELYING ON 4-MAX. Every 4-MAX source I could find is paid press-release distribution carrying an expli…,https://heromd.us/4-max (404) ; https://www.barchart.com/story/news/26140…
HeroMD,ED (sexual health) + hair loss,https://heromd.us,AdLib q=heromd,~850 (measured 2026-08-14),"Meta Ad Library active-ad total for keyword ""heromd"" (US, all ad type…",Framer-built brand site with per-product lo…,"3 live ED products: SURGE (2-in-1 on-demand ODT), PRIME (4-in-1 daily chewing…",SURGE: Sildenafil 80mg + Pycnogenol 50mg (orally disintegrating table…,Compounded — site states…,"Only price published outside the gated funnel: ""Start Today for $2.2/dose"" (PRIME). Pack-size l…",UNVERIFIED as listed. Derived only: at the site's s…,"""TODAY ONLY: GET 1 MONTH FREE*"" sitewide banner (asterisk t…",UNVERIFIED — order bumps/double-up upsells occur post-intake at checkout and we…,"CONFLICT worth flagging: marketing says ""60 Night Risk Free Trial"" and FA…",Not charged as a separate line it…,"Performance/identity: ""Fast. Hard. Reliable. Every single time."" Posi…","""GET STARTED"" (nav, caps), ""Get Started"", ""…","Trustpilot widget ""Rated 4.5 / 5 based on 931 reviews""; homepage ""4.8/5"" and…",Quiz -> Rx -> ship (2-minute questionnaire on try.h…,Auto-renewing subscription billed monthly OR every two mont…,"Operator entity is Cured Med, LLC, 4401 Ludwig Ln, Stafford, Te…","Closest structural analogue to a new compounded-Rx brand: multi-ingredient compounded formulations, gum/ODT novelty for…",https://heromd.us/ ; https://heromd.us/ed ; https://heromd.us/prime ; htt…
BlueChew,ED (sexual health) — single verti…,https://bluechew.com,AdLib q=bluechew,"~3,000 (measured 2026-08-14)","Meta Ad Library active-ad total for keyword ""bluechew"" (US, all ad ty…",Conversion-focused brand homepage with prod…,"8 chewable/sublingual formulations: SIL (sildenafil), TAD (tadalafil), VAR (v…","GOLD (the 4-in-1 hero, ""#1 Best Seller""): Tadalafil + Sildenafil + Ap…",Compounded — GOLD page st…,"From BlueChew's own cost page: most plans ""~$25/month for 6 doses"" up to ""~$135/month for 34 do…",~$25/mo entry (6 doses) to ~$135/mo (34 doses) on s…,NO free trial is documented anywhere on BlueChew's current…,No order bumps exposed pre-account. The upsell architecture is the tier ladder…,"No guarantee, and explicitly no refunds. Verbatim: ""Unfortunately, BlueCh…","$0 —  ""our assessments are entire…","Format-as-differentiator: chewable instead of a pill, citing an NIH s…","""GET STARTED"", ""TRY GOLD"", ""GET BLUECHEW""…","""#1 Best Seller"" badge on GOLD; comparative potency claims (3x/5x/8x); LegitS…",Quiz -> Rx -> ship (medical intake -> licensed prov…,"Auto-renewing subscription. ToS: ""Your payment account will…","Private, no audited figures. CEO Steve Sullivan, quoted 2025-09…",The single most copyable structure in this segment. BlueChew proves you can run a one-vertical brand on format novelty…,https://bluechew.com/ ; https://bluechew.com/our-stories/bluechew-cost-wh…
Friday Plans,ED only (sexual health),https://fridayplans.com,AdLib q=friday%20plans,"~5,500 (measured 2026-08-14)",Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,"Long-form direct-response homepage (hero, t…",Generic Viagra (sildenafil) and generic Cialis (tadalafil).,Tadalafil as-needed 2.5/5/10/20mg and daily 2.5/5mg; sildenafil 'any…,Generic and FDA-approved…,Full pack ladder is gated behind the medical intake. Public claims conflict: 'never charge more…,UNVERIFIED. Implied $0.87-$2.00 per tablet dependin…,'9 ED pills for only $7' entry offer. Whether that $0.87/pi…,None reachable without entering the gated intake - UNVERIFIED. Auto-refill is t…,'TRY RISK-FREE WITH OUR 60-NIGHT 100% MONEY BACK GUARANTEE.' Supporting c…,Not itemized; consult bundled. UN…,Risk-free trial of a cheap generic - the offer IS the guarantee. Heav…,Hero CTA is an icon-only button linking to…,"'As Advertised On' press strip (USA Today, Forbes, MSNBC, FOX, CBS, CNN); 20+…",Long-form advertorial-style homepage -> gated intak…,Auto-refill subscription by default with an online pause. C…,UNVERIFIED. Caution: searches for 'Friday Plans' funding surfac…,"The guarantee is the entire offer here, and it is the most aggressive risk reversal of any Rx brand in this set: 60 nig…",https://fridayplans.com ; https://fridayplans.com/viagra ; Meta Ad Librar…
Pilot (Australia),"ED, premature ejaculation, hair l…",https://pilot.com.au,AdLib q=pilot.com.au,31,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Long-form condition landing pages with heav…,"ED and PE plans, hair loss, acne, Weight/Metabolic Reset, mental health, slee…","NOT DISCLOSED for prescription lines, and Pilot says why: 'Advertisin…",UNVERIFIED for prescripti…,ALL PRICES AUD. ED: 'Weekend Plan' minimum $134/2 months (~$67/mo) and 'Classic Plan' minimum $…,"AUD. ED roughly $29-$67/mo depending on tier, plus…",'START50 - $50 off your first order' on weight loss. Struck…,"The entire OTC 'Shop level ups' range functions as the bump layer, sold at visi…","30-day money-back guarantee on all weight-loss treatment plans, described…","YES - $20 AUD consult fee, explic…","Evidence-led and destigmatised, with real patient outcomes and cited…","'Get started', 'Get started today', 'Check…",Interactive weight-loss slider computing expected loss from current weight; W…,Quiz -> paid $20 phone consult with an Australian p…,"Subscription with monthly deliveries, 'no lock-ins', free s…",MATERIAL: Pilot is owned by Eucalyptus (which also owns Juniper…,The most strategically important non-US row. Pilot looks like a distant foreign operator but is now owned by Hims & Her…,https://pilot.com.au/ ; https://pilot.com.au/erectile-dysfunction ; https…
Rugiet,"ED, premature ejaculation, hair r…",https://www.rugiet.com,AdLib q=rugiet,729,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Single-hero PDP feeding a fully gated quiz…,"Ready (hero ED), Go Long (PE), Grower (hair), testosterone, Recharge (sleep)…","Ready: compounded sublingual 3-in-1 combining Sildenafil, Tadalafil a…","Compounded, explicitly: '…",NOT PUBLISHED. Confirmed by direct text search of the full product page - no dollar figures app…,UNVERIFIED - no price is published pre-quiz.,"Sitewide sticky banner: 'Buy 2 months of Ready, get 1 free'…",The buy-2-get-1-free offer is the only public promo. Checkout bumps UNVERIFIED…,UNVERIFIED. FAQ promises 'no hidden fees' but no satisfaction or money-ba…,Bundled into the undisclosed prod…,Potency and speed via a proprietary triple-active formulation plus a…,"'Get Started', 'Start Ready', 'Buy 2 months…","Star rating with count under the product name: 'Reviews (1,208) 4.3';  '85% o…","Quiz -> Rx -> ship, with pricing revealed only insi…","UNVERIFIED - billing cadence, cancellation and rebill terms…",Private. Third-party aggregators (Tracxn/Growjo) suggest ~68 em…,"The closest direct analogue to a compounded multi-active ED brand, and the clearest proof that a proprietary delivery-s…",https://www.rugiet.com/ ; https://www.rugiet.com/erectile-dysfunction/rea…
Ro (Roman),"ED, premature ejaculation, weight…",https://ro.co,AdLib q=ro.co,8701,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Standard ecommerce/PDP plus an unusually tr…,"Ro Sparks, Daily Rise Gummies, generic and branded Viagra/Cialis, Roman Swipe…",Ro Sparks: Sildenafil 55mg + Tadalafil 22mg. Daily Rise Gummies: Tada…,"Primarily generic, with b…","Ro Sparks $48/mo (4 doses), $72/mo (6), $96/mo (8), $120/mo (10); quarterly plans $15 off every…",ED ranges from $8/mo (daily generic Cialis) to $120…,Homepage banner at capture: 'Get $20 off your next ED order…,No checkout bumps captured (checkout not entered). The real discount mechanism…,UNVERIFIED - not located.,Not itemized separately; bundled…,"Transparency and legitimacy - published prices, generic-vs-brand side…","'Get started', 'Start losing weight', 'Star…","LegitScript badge;  '95% love their experience';  '3,000,000+ members'; celeb…",Browse -> quiz/eligibility -> Rx -> ship. Pricing p…,"Monthly with quarterly, 6-month and 12-month prepay tiers…",Private. Secondary aggregators report ~$1.06B total funding; a…,Ro is the counter-example to the gated-funnel orthodoxy: it publishes a full price list and still scales. Worth copying…,https://ro.co/ ; https://ro.co/pricing ; Meta Ad Library URL in column D…
Rex MD,"ED/sexual health (hub), plus hair…",https://www.rexmd.com,AdLib q=rex%20md,~48 (measured 2026-08-14),Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Advertorial-style paid-media landing page o…,"Generic and branded Viagra, generic and branded Cialis, Cialis Daily, generic…",Ignite Rx: Sildenafil 40mg + Tadalafil 8.5mg (state-gated variant Sil…,Mix of generic and brand-…,Per-unit anchors on the live funnel: Cialis Daily 'As low as $1.80 per tablet'; generic Cialis…,$1.80-$7.00 per dose for generics and combos; $90/t…,"ED consult advertised free ('Free Online Consultation', '10…",THE MOST AGGRESSIVE BUMP STACK IN THIS SET - five sequential offers before medi…,"UNVERIFIED on the crawled pages, though a 'Satisfaction Guaranteed' trust…",ED consult is free. A separate pa…,"Speed and free-consult framing on ED, then monetize via cross-categor…",'Start your free visit' (with sub-label '-…,"Star block '4.84 Based on 376 ratings' with full distribution, but the main s…",Advertorial/affiliate landing -> sequential order b…,"'Monthly refills, or you can reorder your medication as nee…",Private. Third-party estimator Grips Intelligence reports rexmd…,Study this funnel for bump architecture and nothing else. Five stacked bumps ahead of the core purchase is the highest-…,https://www.rexmd.com/viagra ; https://ed.rexmd.com/sample-pack-1/ ; http…
EverLife MD,"ED/sexual health (Titan-Rx), wome…",https://everlifemd.com,AdLib q=everlifemd,"50,000 (measured 2026-08-14)",Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Long-form single-product advertorial. The U…,"Titan-Rx (men's ED), Lovara (women's intimacy), Enclomiphene, Sermorelin GHK…","Titan-Rx, 'THE 3-IN-1 PERFORMANCE STACK': Tadalafil 6mg + Vardenafil…",Prescription combination…,Titan-Rx 'As low as $49.99/Month - Get 49% OFF NOW!'. Lovara 'As Low as $55'. Enclomiphene 'As…,"$49.99/mo for Titan-Rx (30 daily capsules), roughly…",'Get 49% OFF NOW' with no stated baseline. Whether $49.99 r…,None found on the product page - UNVERIFIED beyond the gated intake.,No money-back guarantee. Only a quality claim: 'Our purity guarantee ensu…,Bundled: 'Treatment Plan includes…,Daily-dosing convenience plus a stack framing - positioned against bo…,"'Get Started Now', 'get started now!', 'GET…"," 'Over 100,000+ Happy Customers' (consistent across the page); '4.8 Trustpilo…",Advertorial -> free health quiz -> doctor review ->…,Monthly subscription implied by the 30-capsule bottle and $…,"UNVERIFIED. No independent revenue, funding or customer data fo…","Badly underrated on a first pass and worth a hard look. At 1,623 active ads EverLife is the third-heaviest Meta adverti…",https://everlifemd.com ; https://everlifemd.com/titan-rx/h2 ; https://eve…
